Academic Institution,Advanced Degree,Vet Pref,Status,Class
"UNIVERSITY OF CALIFORNIA, BERKELEY",Policy Analysis,No,-,2017
GEORGETOWN UNIVERSITY,Defense/Terrorism,Yes,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Public Health,No,-,2017
WAKE FOREST GRAD SCHOOLS OF BUSINESS,Business Management/Administration,No,-,2017
UNIV OF LONDON KING'S COLLEGE,Defense/Terrorism,No,Appointed,2016
"UNIVERSITY OF CALIFORNIA, BERKELEY",Ecology,No,-,2017
UNIV ARKANSAS FAYETTEVILLE,Law (JD or other law degree),No,-,2017
CENTRAL MICHIGAN UNIVERSITY,Administration/Management Process,Yes,-,2016
VIRGINIA COMMONWEALTH UNIVERSITY,Biomedical Engineering,No,-,2017
UNIVERSITY OF GEORGIA,Pharmacology,No,-,2017
MAASTRICHT UNIVERSITY,Policy Analysis,No,Appointed,2016
AMERICAN UNIVERSITY,Law (JD or other law degree),No,-,2016
NEW YORK UNIVERSITY,Public Administration,No,Appointed,2016
UNIVERSITY OF NEBRASKA-OMAHA,Public Administration,No,-,2017
YALE UNIVERSITY,International Disciplines,Yes,-,2017
TUI UNIVERSITY,Business Management/Administration,Yes,Appointed,2016
SUNY COLLEGE OF ENVIRONMENT SCIENCE AND,Biology/Biological Sciences,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,Yes,-,2017
EMORY UNIVERSITY,Public Health,No,-,2017
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Government,Yes,-,2017
AMERICAN UNIVERSITY,Communications,Yes,-,2016
UNIVERSITY OF KANSAS,Law (JD or other law degree),Yes,-,2016
WASHINGTON STATE UNIVERSITY,Biology/Biological Sciences,No,-,2017
MCGILL UNIVERSITY,Political Science,No,-,2016
UNIVERSITY OF HOUSTON,Social Work,No,-,2017
UTAH STATE UNIVERSITY,Political Science,Yes,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Ecology,No,-,2017
GEORGETOWN UNIVERSITY,International Disciplines,Yes,-,2016
AMERICAN UNIVERSITY,Defense/Terrorism,No,-,2016
National Intelligence University,"Area Studies -- ex. Strategic, Judicial",Yes,-,2016
FAYETTEVILLE STATE UNIVERSITY,Business Management/Administration,No,-,2016
AMERICAN UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
TUFTS UNIVERSITY,International Disciplines,No,-,2017
CLARK UNIVERSITY,International Disciplines,No,-,2016
UNIVERSITY OF WISCONSIN-MADISON,Biology/Biological Sciences,No,Appointed,2016
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,-,2016
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,Yes,-,2017
NEW YORK UNIVERSITY,Accounting/Finance/Budget,Yes,-,2016
NORTHWESTERN UNIV,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF NOTRE DAME,Chemistry,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Policy Analysis,No,-,2016
CARNEGIE MELLON UNIV- THE HEINZ COLLEGE,Policy Analysis,No,-,2017
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Public Health,No,-,2017
CATHOLIC UNIVERSITY OF AMERICA,Economics,No,Appointed,2016
UNIVERSITY OF VIRGINIA - SFS,Policy Analysis,No,Appointed,2016
ROGER WILLIAMS UNIVERSITY,Law (JD or other law degree),No,-,2017
GEORGE WASHINGTON UNIVERSITY,Communications,No,-,2017
PEPPERDINE UNIVERSITY,Business Management/Administration,Yes,Appointed,2016
COLLEGE OF WILLIAM & MARY,Policy Analysis,No,Appointed,2016
AMERICAN UNIVERSITY,Defense/Terrorism,No,Appointed,2016
TEXAS A&M UNIVERSITY,International Disciplines,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Public Affairs,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Diplomacy,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,No,Appointed,2016
TEXAS A&M UNIVERSITY,International Disciplines,No,Appointed,2016
CITY COLLEGE-CUNY,Comparative Politics,No,-,2016
GEORGIA INSTITUTE OF TECHNOLOGY,History,No,-,2017
INDIANA UNIVERSITY-BLOOMINGTON,Public Affairs,No,Appointed,2016
GEORGE MASON UNIVERSITY,Business Management/Administration,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,Appointed,2016
OHIO STATE UNIVERSITY-ALL CAMPUSES,Agricultural Science,No,-,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Health,No,-,2017
NEW YORK UNIVERSITY,Pharmacology,No,Appointed,2016
UNIVERSITY OF COLORADO DENVER,Urban/Regional Administration/Management,No,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Environmental Sciences/Natural Resources,No,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
UNIVERSITY OF CHICAGO GRADUATE,Policy Analysis,No,Appointed,2016
UNIVERSITY OF MIAMI,Meteorology,No,-,2016
GEORGE WASHINGTON UNIVERSITY,Defense/Terrorism,No,-,2016
"RUTGERS, THE STATE UNIVERSITY OF NJ",Urban/Regional Administration/Management,No,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
SETON HALL UNIVERSITY,Diplomacy,Yes,-,2016
