Year,Type,School,School2
2012.0,PMF,DUKE UNIV ? SCHOOL OF PUBLIC SERVICE,DUKE UNIVERSITY
2012.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2012.0,PMF,JOHNS HOPKINS UNIV SCH ADVAN INT ST,JOHNS HOPKINS UNIVERSITY
2012.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2012.0,PMF,UNIVERSITY OF PITTSBURGH?MAIN,UNIVERSITY OF PITTSBURGH
2012.0,PMF,UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY
2012.0,PMF,TULANE UNIVERSITY,TULANE UNIVERSITY
2012.0,PMF,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
2012.0,PMF,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
2012.0,PMF,THE COLLEGE OF WILLIAM & MARY,COLLEGE OF WILLIAM AND MARY
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,GEORGE WASHINGTON UNIV NAT LAW CTR,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,WESTERN MICHIGAN UNIVERSITY,WESTERN MICHIGAN UNIVERSITY
2012.0,PMF,UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO
2012.0,PMF,VANDERBILT UNIV?SCHOOL OF LAW,VANDERBILT UNIVERSITY
2012.0,PMF,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY
2012.0,PMF,EASTERN COLLEGE,EASTERN COLLEGE
2012.0,PMF,THE COLLEGE OF WILLIAM & MARY,COLLEGE OF WILLIAM AND MARY
2012.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2012.0,PMF,UNIVERSITY OF MINNESOTA?TWIN CITIES,UNIVERSITY OF MINNESOTA - TWIN CITIES
2012.0,PMF,NORWICH UNIVERSITY,NORWICH UNIVERSITY
2012.0,PMF,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2012.0,PMF,UNIVERSITY OF TEXAS AT DALLAS,UNIVERSITY OF TEXAS - DALLAS
2012.0,PMF,UNIV OF CALIFORNIA?SAN DIEGO(UCSD),UNIVERSITY OF CALIFORNIA-SAN DIEGO
2012.0,PMF,MASSACHUSETTS INST OF TECHNOLOGY,MASSACHUSETTS INST OF TECHNOLOGY
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
2012.0,PMF,U S NAVAL WAR COLLEGE,NAVAL WAR COLLEGE
2012.0,PMF,INSTITUTE OF WORLD POLITICS,INSTITUTE OF WORLD POLITICS
2012.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2012.0,PMF,MONTEREY INST OF INTERNATL STUDIES,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE
2012.0,PMF,UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
2012.0,PMF,UNIV OF CENTRAL FLORIDA,UNIV OF CENTRAL FLORIDA
2012.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2012.0,PMF,NORTH CAROLINA CENTRAL UNIV,NORTH CAROLINA CENTRAL UNIVERSITY
2012.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2012.0,PMF,UNIV OF ILLINOIS @ URBANA?CHAMPAIGN,UNIV OF ILLINOIS - URBANA - CHAMPAIGN
2012.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2012.0,PMF,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
2012.0,PMF,UNIVERSITY OF SAN DIEGO SCH OF LAW,UNIVERSITY OF SAN DIEGO
2012.0,PMF,UNIVERSITY OF CALIFORNIA?SANTA BARB,UNIVERSITY OF CALIFORNIA-SANTA BARB
2012.0,PMF,CORNELL UNIVERSITY,CORNELL UNIVERSITY
2012.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2012.0,PMF,UNIV OF MICHIGAN LAW SCHOOL,UNIVERSITY OF MICHIGAN - ANN ARBOR
2012.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,CENTRAL CONNECTICUT STATE UNIV,CENTRAL CONNECTICUT STATE UNIV
2012.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2012.0,PMF,RUTGERS UNIV?CAMPUS AT NEWARK,"RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2012.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2012.0,PMF,LONDON SCHOOL OF ECONOMICS,UNIV OF LONDON - LONDON SCHOOL ECON
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2012.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2012.0,PMF,DUKE UNIV ? GRAD SCH ARTS & SCIENCE,DUKE UNIVERSITY
2012.0,PMF,JOHNSON UNIVERSITY,JOHNSON UNIVERSITY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,UNIVERSITY OF LOUISVILLE,UNIVERSITY OF LOUISVILLE
2012.0,PMF,UNIVERSITY OF PITTSBURGH?MAIN,UNIVERSITY OF PITTSBURGH
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,CHICAGO KENT COLLEGE OF LAW,CHICAGO KENT COLLEGE OF LAW
2012.0,PMF,MONTEREY INST OF INTERNATL STUDIES,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE
2012.0,PMF,UNIVERSITY OF NOTRE DAME,UNIVERSITY OF NOTRE DAME
2012.0,PMF,YALE UNIVERSITY ? GRADUATE SCHOOL,YALE UNIVERSITY
2012.0,PMF,SOUTHWEST MISSOURI STATE UNIV,SOUTHWEST MISSOURI STATE UNIV
2012.0,PMF,UNIV MARYLAND CLG PARK,UNIVERSITY OF MARYLAND - COLLEGE PARK
2012.0,PMF,TULANE UNIVERSITY,TULANE UNIVERSITY
2012.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2012.0,PMF,SOUTHWEST MISSOURI STATE UNIV,SOUTHWEST MISSOURI STATE UNIV
2012.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2012.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2012.0,PMF,JOHNS HOPKINS UNIV SCH ADVAN INT ST,JOHNS HOPKINS UNIVERSITY
2012.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2012.0,PMF,UNIVERSITY OF ALABAMA?BIRMINGHAM,UNIVERSITY OF ALABAMA - BIRMINGHAM
2012.0,PMF,BOSTON UNIVERSITY,BOSTON UNIVERSITY
2012.0,PMF,BOSTON COLLEGE,BOSTON COLLEGE
2012.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2012.0,PMF,KELLER GRADUATE SCHOOL OF MGMT.,KELLER GRADUATE SCHOOL OF MGMT.
2012.0,PMF,UNIV OF CALIFORNIA?SAN DIEGO(UCSD),UNIVERSITY OF CALIFORNIA-SAN DIEGO
2012.0,PMF,GEORGE WASHINGTON UNIV NAT LAW CTR,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
2012.0,PMF,UNIV OF ILLINOIS AT CHICAGO,UNIV OF ILLINOIS AT CHICAGO
2012.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,FLORIDA INSTITUTE OF TECHNOLOGY,FLORIDA INSTITUTE OF TECHNOLOGY
2012.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2012.0,PMF,UNIV MARYLAND CLG PARK,UNIVERSITY OF MARYLAND - COLLEGE PARK
2012.0,PMF,INSTITUT D'ETUDES POLITIQUES DE PARIS,INST D'ETUDES POLITIQUES DE PARIS
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,WEST TEXAS A UNIVERSITY,WEST TEXAS A UNIVERSITY
2012.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2012.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2012.0,PMF,UNIV ARKANSAS LITTLE ROCK,UNIV ARKANSAS LITTLE ROCK
2012.0,PMF,"RUTGERS?THE STATE UNIV, CAMDEN","RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2012.0,PMF,HARVARD UNIV SCH PUBLIC HEALTH,HARVARD UNIVERSITY
2012.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2012.0,PMF,CORNELL UNIVERSITY,CORNELL UNIVERSITY
2012.0,PMF,UNIVERSITY OF MISSOURI?COLUMBIA,UNIVERSITY OF MISSOURI - COLUMBIA
2012.0,PMF,COLUMBIA UNIV SOCIAL WORK,COLUMBIA UNIVERSITY
2012.0,PMF,WALDEN UNIVERSITY,WALDEN UNIVERSITY
2012.0,PMF,UNIV OF LONDON ? UNIVERSITY COLLEGE,UNIV OF LONDON - UNIVERSITY COLLEGE
2012.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2012.0,PMF,EASTERN MICHIGAN UNIVERSITY,EASTERN MICHIGAN UNIVERSITY
2012.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2012.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2012.0,PMF,TULANE UNIVERSITY,TULANE UNIVERSITY
2012.0,PMF,UNIVERSITY OF OXFORD ST ANTHONYS COLLEGE,UNIVERSITY OF OXFORD ST ANTHONYS COLLEGE
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,COLUMBIA UNIV GRAD SCHL ARTS & SCI,COLUMBIA UNIVERSITY
2012.0,PMF,AMERICAN UNIVERSITY OF CAIRO,AMERICAN UNIVERSITY OF CAIRO
2012.0,PMF,GEORGE WASHINGTON UNIV NAT LAW CTR,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,PENNSYLVANIA STATE UNIV,PENN STATE UNIVERSITY
2012.0,PMF,COLUMBIA UNIV GRAD SCHL ARTS & SCI,COLUMBIA UNIVERSITY
2012.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2012.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2012.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,UNIV MARYLAND AT BALTIMORE,UNIVERSITY OF MARYLAND - BALTIMORE
2012.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2012.0,PMF,UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
2012.0,PMF,UNIVERSITY OF N C?CHAPEL HILL,UNIVERSITY OF NORTH CARLOLINA - CHAPEL HILL
2012.0,PMF,BOSTON UNIVERSITY,BOSTON UNIVERSITY
2012.0,PMF,JOHNS HOPKINS UNIV SCH ADVAN INT ST,JOHNS HOPKINS UNIVERSITY
2012.0,PMF,SUNY AT BUFFALO,SUNY AT BUFFALO
2012.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2012.0,PMF,SAMFORD UNIVERSITY,SAMFORD UNIVERSITY
2012.0,PMF,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY
2012.0,PMF,UNIV ARKANSAS LITTLE ROCK,UNIV ARKANSAS LITTLE ROCK
2012.0,PMF,UNIVERSITY OF WISCONSIN ? MADISON,UNIVERSITY OF WISCONSIN - MADISON
2012.0,PMF,UNIV OF CALIFORNIA?SAN DIEGO(UCSD),UNIVERSITY OF CALIFORNIA-SAN DIEGO
2012.0,PMF,HOFSTRA UNIVERSITY,HOFSTRA UNIVERSITY
2012.0,PMF,SEATTLE UNIVERSITY,SEATTLE UNIVERSITY
2012.0,PMF,UNIVERSITY OF MISSOURI?KANSAS CITY,UNIVERSITY OF MISSOURI - KANSAS CITY
2012.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2012.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2012.0,PMF,COLUMBIA UNIV SCH INTL PUB AFFAIRS,COLUMBIA UNIVERSITY
2012.0,PMF,BRANDEIS UNIVERSITY,BRANDEIS UNIVERSITY
2012.0,PMF,MADELEINE GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,DANA UNIV OF SOUTH FLORIDA,UNIV OF SOUTH FLORIDA
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2012.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2012.0,PMF,UNIV OF SC COLUMBIA,UNIV OF SOUTH CAROLINA COLUMBIA
2012.0,PMF,HARVARD UNIV GRAD S OF ARTS & SCIEN,HARVARD UNIVERSITY
2012.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,VANDERBILT UNIV?SCHOOL OF LAW,VANDERBILT UNIVERSITY
2012.0,PMF,PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2012.0,PMF,CLEVELAND STATE UNIVERSITY,CLEVELAND STATE UNIVERSITY
2012.0,PMF,NEW YORK LAW SCHOOL,NEW YORK LAW SCHOOL
2012.0,PMF,OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY (ALL CAMPUSES)
2012.0,PMF,DUKE UNIV ? SCH OF THE ENVIRONMENT,DUKE UNIVERSITY
2012.0,PMF,STANFORD UNIVERSITY,STANFORD UNIVERSITY
2012.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2012.0,PMF,AMERICAN MILITARY UNIVERSITY,AMERICAN MILITARY UNIVERSITY
2012.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2012.0,PMF,HARVARD JOHN F KENNEDY SCHL OF GOVT,HARVARD UNIVERSITY
2012.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2012.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
