Agency/Sub-Agency,Class,Start Date
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/26/2017
Department of State,2017,
Department of State,2017,
Department of State,2017,
Department of State,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,4/17/2017
Department of State,2017,
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,
Department of Agriculture / Food Safety and Inspection Service,2017,
Department of State,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,4/3/2017
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,
Department of State,2017,
Department of the Treasury / Internal Revenue Service,2017,
Department of Agriculture / Food Safety and Inspection Service,2017,5/14/2017
Department of State,2017,
Executive Office of the President / Office of the U.S. Trade Representative,2017,7/24/2017
Department of State,2017,
Department of State,2017,
Department of Energy / U.S. Energy Information Administration,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,7/9/2017
Department of State,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/26/2017
Federal Trade Commission,2017,
Department of the Treasury / Internal Revenue Service,2017,
Department of State,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,7/10/2017
Department of the Treasury / Bureau of the Fiscal Service,2017,5/28/2017
Department of Veterans Affairs / Veterans Health Administration,2017,6/11/2017
Department of Energy / U.S. Energy Information Administration,2017,
Department of State,2017,
Department of the Treasury / Internal Revenue Service,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,
Department of State,2017,
Department of State,2017,
Office of the Director of National Intelligence,2017,
Department of Veterans Affairs / Veterans Health Administration,2017,6/26/2017
Department of Homeland Security / DHS Headquarters,2017,6/12/2017
Department of State,2017,
Department of Agriculture / Food and Nutrition Service,2017,
Department of State,2017,
Department of State,2017,
Department of State,2017,
Department of State,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/26/2017
Department of the Interior / Bureau of Reclamation,2017,9/3/2017
Department of the Treasury / Internal Revenue Service,2017,
Department of Veterans Affairs / Veterans Health Administration,2017,7/9/2017
Department of Agriculture / Natural Resources Conservation Services,2017,
Millennium Challenge Corporation,2017,
Office of the Director of National Intelligence,2017,
Department of Agriculture / Food and Nutrition Service,2017,6/25/2017
Department of State,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,8/21/2017
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/12/2017
Department of the Treasury / Internal Revenue Service,2017,
Office of the Director of National Intelligence,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,5/14/2017
Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,2017,5/15/2017
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,7/9/2017
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/26/2017
Department of Agriculture / Natural Resources Conservation Services,2017,
National Science Foundation,2017,
Department of Veterans Affairs / Veterans Health Administration,2017,6/18/2017
Department of State,2017,
Department of State,2017,
Department of Health and Human Services / Centers for Medicare and Medicaid Services,2017,6/12/2017
Department of the Treasury / Internal Revenue Service,2017,
Department of State,2017,
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,
Department of Agriculture / Natural Resources Conservation Services,2017,
Department of Agriculture / Food Safety and Inspection Service,2017,4/30/2017
Department of the Treasury / Internal Revenue Service,2017,
Small Business Administration,2017,
Department of Homeland Security / Immigration and Customs Enforcement,2017,6/26/2017
Department of Homeland Security / Federal Emergency Management Agency,2017,
Department of Veterans Affairs / Veterans Health Administration,2017,6/11/2017
Department of Veterans Affairs / Veterans Health Administration,2017,6/12/2017
Department of the Interior / Office of the Secretary,2017,6/26/2017
Department of Agriculture / Natural Resources Conservation Services,2017,4/17/2017
Department of Agriculture / Natural Resources Conservation Services,2017,6/12/2017
Department of Health and Human Services / Office of the Secretary of Health and Human Services,2017,
Office of the Director of National Intelligence,2017,
