Listings,Series,Position Title,Number of Positions,Agency,Agency/Sub-Agency,State,Opening Date,Closing Date,Opening Length,GS-09,GS-11,GS-12,GS-13,Promotion Potential
3,343,Research Analyst,1,Broadcasting Board of Governors,Broadcasting Board of Governors,DC,2017-01-13,2017-12-13,334 days 00:00:00.000000000,False,True,False,False,GS-13
9,343,Management and Program Analyst,1,Department of the Treasury,Department of the Treasury / Bureau of the Fiscal Service,DC,2017-01-18,2017-03-01,42 days 00:00:00.000000000,False,True,True,False,GS-12
25,343,Management and Program Analyst,2,Broadcasting Board of Governors,Broadcasting Board of Governors,DC,2017-01-18,2017-03-07,48 days 00:00:00.000000000,True,False,False,False,GS-13
26,343,Management and Program Analyst,2,Broadcasting Board of Governors,Broadcasting Board of Governors,DC,2017-01-18,2017-03-07,48 days 00:00:00.000000000,False,True,False,False,GS-13
30,807,Landscape Architect,1,Department of Agriculture,Department of Agriculture / Forest Service,CA,2017-03-14,2017-03-18,4 days 00:00:00.000000000,True,True,False,False,GS-11
34,301,Policy Advisor,1,Department of the Treasury,Department of the Treasury / Departmental Offices,DC,2017-02-16,2017-03-16,28 days 00:00:00.000000000,False,True,False,False,GS-13
37,132,CT All Source Analyst,1,Office of the Director of National Intelligence,Office of the Director of National Intelligence,VA,2017-02-03,2017-03-03,28 days 00:00:00.000000000,True,False,False,False,GS-12
38,201,Human Resources Specialist (Employee & Labor Relations),1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NY,2017-02-09,2017-02-22,13 days 00:00:00.000000000,False,True,False,False,GS-12
39,132,Program Analyst,1,Office of the Director of National Intelligence,Office of the Director of National Intelligence,VA,2017-02-03,2017-03-03,28 days 00:00:00.000000000,True,False,False,False,GS-12
40,132,CT Operations Officer,1,Office of the Director of National Intelligence,Office of the Director of National Intelligence,VA,2017-02-03,2017-03-03,28 days 00:00:00.000000000,True,False,False,False,GS-12
41,343,North America Invasive Alien Species Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary of the Interior,DC,2017-02-13,2017-02-28,15 days 00:00:00.000000000,False,False,False,False,GS-12
44,343,Arctic Invasive Alien Species Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary of the Interior,DC,2017-02-13,2017-02-28,15 days 00:00:00.000000000,False,False,False,False,GS-12
45,343,Arctic Invasive Alien Species Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior,DC,2017-02-13,2017-05-22,98 days 00:00:00.000000000,True,True,True,False,GS-12
46,343,State Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary of the Interior,DC,2017-02-13,2017-02-28,15 days 00:00:00.000000000,False,False,False,False,GS-12
47,343,US Territories Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary of the Interior,DC,2017-02-13,2017-02-28,15 days 00:00:00.000000000,False,False,False,False,GS-12
48,343,Tribal Coordinator/Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary of the Interior,DC,2017-02-13,2017-02-28,15 days 00:00:00.000000000,False,False,False,False,GS-12
49,343,Management and Program Analyst,13,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-03-15,22 days 00:00:00.000000000,True,False,False,False,GS-13
50,1530,Statistician,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
51,401,Natural Resources Specialist,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
55,343,Program Analyst,10,Department of Agriculture,Department of Agriculture / Food and Nutrition Service,VA,2017-02-15,2017-03-01,14 days 00:00:00.000000000,True,True,False,False,GS-13
56,132,Interagency Coordinator/Strategist,1,Office of the Director of National Intelligence,Office of the Director of National Intelligence,VA,2017-02-03,2017-03-03,28 days 00:00:00.000000000,True,False,False,False,GS-12
57,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
59,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
60,1101,Investment Officer,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
61,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
62,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
63,401,Natural Resources Specialist,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
64,343,Management Analyst,2,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
65,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
66,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
67,1035,Public Affairs Specialist,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,UT,2017-02-23,2017-03-02,7 days 00:00:00.000000000,True,False,False,False,GS-11
68,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
70,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
71,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
72,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
73,343,Management Analyst,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Service,DC,2017-02-15,2017-02-21,6 days 00:00:00.000000000,True,False,False,False,GS-12
74,1550,Computer Scientist,2,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-04-26,64 days 00:00:00.000000000,True,True,False,False,GS-12
75,110,Economist,5,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-04-30,68 days 00:00:00.000000000,True,True,True,False,GS-13
76,1515,Operations Research Analyst,5,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-04-30,68 days 00:00:00.000000000,True,True,True,False,GS-13
77,950,Paralegal Specialist,1,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-03-15,22 days 00:00:00.000000000,True,False,False,False,GS-12
78,1530,Statistician,2,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-04-30,68 days 00:00:00.000000000,True,True,True,False,GS-13
80,301,Policy Advisor,2,Department of the Treasury,Department of the Treasury / Departmental Offices,DC,2017-02-16,2017-03-16,28 days 00:00:00.000000000,True,True,False,False,GS-13
81,301,Policy Advisor,2,Department of the Treasury,Department of the Treasury / Departmental Offices,DC,2017-02-16,2017-03-16,28 days 00:00:00.000000000,False,True,False,False,GS-13
82,2210,Information Technology Specialist,2,Department of Education,Department of Education / Office of Postsecondary Education,DC,2017-02-20,2017-03-06,14 days 00:00:00.000000000,True,True,True,False,GS-12
83,343,Management Analyst,1,Office of Personnel Management,Office of Personnel Management,DC,2017-02-16,2017-02-21,5 days 00:00:00.000000000,False,False,False,False,GS-11
84,343,Management Analyst,1,Office of Personnel Management,Office of Personnel Management,DC,2017-02-16,2017-02-21,5 days 00:00:00.000000000,False,False,False,False,GS-13
85,343,Program Analyst,14,Department of Agriculture,Department of Agriculture / Food and Nutrition Service,VA,2017-02-17,2017-03-03,14 days 00:00:00.000000000,True,True,True,False,GS-13
86,301,Policy and Program Review Lead,1,Department of the Interior,Department of the Interior / Office of the Secretary,DC,2017-03-01,2017-03-24,23 days 00:00:00.000000000,True,False,False,False,GS-11
87,801,General Engineer,1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,VA,2017-02-16,2017-03-16,28 days 00:00:00.000000000,False,False,True,False,GS-14
88,408,Protected Species Ecologist,1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,LA,2017-02-16,2017-03-16,28 days 00:00:00.000000000,True,False,False,False,GS-12
89,819,Environmental Engineer,1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,LA,2017-02-16,2017-12-31,318 days 00:00:00.000000000,True,False,False,False,GS-12
90,560,Budget Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary,DC,2017-02-16,2017-03-16,28 days 00:00:00.000000000,True,False,False,False,GS-13
91,343,Program Analyst,2,Department of the Interior,Department of the Interior / Office of the Secretary,VA,2017-02-16,2017-03-03,15 days 00:00:00.000000000,True,False,False,False,GS-12
92,343,Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary,VA,2017-02-16,2017-03-05,17 days 00:00:00.000000000,True,False,False,False,GS-12
93,343,Managment Analyst,1,National Science Foundation,National Science Foundation,VA,2017-02-28,2017-03-08,8 days 00:00:00.000000000,True,True,False,False,GS-13
94,301,Leadership Advisor,1,Department of the Interior,Department of the Interior / Office of the Secretary,DC,2017-03-01,2017-03-24,23 days 00:00:00.000000000,False,True,False,False,GS-12
95,301,Regulatory Counsel,2,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,True,False,GS-13
96,201,Human Resources Specialist (ER/LR),1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,LA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,True,True,False,False,GS-13
96,201,Human Resources Specialist (ER/LR),1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,VA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,True,True,False,False,GS-13
96,201,Human Resources Specialist (ER/LR),1,Department of the Interior,Department of the Interior / Bureau of Safety and Environmental Enforcement,DC,2017-02-17,2017-03-17,28 days 00:00:00.000000000,True,True,False,False,GS-13
98,560,Budget Analyst,3,Department of the Interior,Department of the Interior / Office of the Secretary,DC,2017-02-17,2017-03-17,28 days 00:00:00.000000000,False,True,True,False,GS-13
99,343,Program Analyst,1,Department of the Interior,Department of the Interior / Bureau of Ocean Energy Management,VA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,False,True,False,False,GS-12
100,343,Program Analyst,1,Department of the Interior,Department of the Interior / Bureau of Ocean Energy Management,VA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,False,False,True,False,GS-13
101,301,Advisor ? Tribal Relations,2,Department of the Interior,Department of the Interior / Office of the Secretary,VA,2017-02-17,2017-03-20,31 days 00:00:00.000000000,False,True,True,False,GS-12
102,28,Regional Environmental Assistant,1,Department of the Interior,Department of the Interior / Office of the Secretary,GA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,True,False,False,False,GS-12
102,28,Regional Environmental Assistant,1,Department of the Interior,Department of the Interior / Office of the Secretary,CA,2017-02-17,2017-03-17,28 days 00:00:00.000000000,True,False,False,False,GS-12
103,2210,Information Technology Specialist,1,Department of the Treasury,Department of the Treasury / Internal Revenue Service,UT,2017-02-21,2017-04-30,68 days 00:00:00.000000000,True,True,False,False,GS-12
103,2210,Information Technology Specialist,1,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-02-21,2017-04-30,68 days 00:00:00.000000000,True,True,False,False,GS-12
104,306,Government Information Specialist,2,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,True,False,False,GS-13
105,1720,Education Program Specialist,8,Department of Education,Department of Education / Office of Elementary and Secondary Education,DC,2017-02-21,2017-03-06,13 days 00:00:00.000000000,True,True,True,False,GS-12
106,301,Program Specialist,1,Department of Education,Department of Education / Office of Postsecondary Education,DC,2017-02-21,2017-03-06,13 days 00:00:00.000000000,True,True,True,False,GS-12
107,343,Managment Analyst,1,Consumer Product Safety Commission,Consumer Product Safety Commission,MD,2017-03-03,2017-03-13,10 days 00:00:00.000000000,True,False,False,False,GS-13
